member_casual,weekday,number_of_ride,average_duration
casual,Sun,18652,5061.304364143255
casual,Mon,5591,4752.050438204257
casual,Tue,7311,4561.8038572014775
casual,Wed,7690,4480.372431729519
casual,Thu,7147,8451.66685322513
casual,Fri,8013,6090.737301884437
casual,Sat,13473,4950.770800860982
member,Sun,60197,972.938335797465
member,Mon,110430,822.3112016662138
member,Tue,127974,769.4416287683435
member,Wed,121902,711.9837902577481
member,Thu,125228,707.2092742837066
member,Fri,115168,796.7337888996943
member,Sat,59413,974.0729638294649
